,abbreviation,code,name,name_en,type
0,HXCZHH,000001,华夏成长混合,HUAXIACHENGZHANGHUNHE,混合型
1,HXCZHH,000002,华夏成长混合(后端),HUAXIACHENGZHANGHUNHE,混合型
2,ZHKZZZQA,000003,中海可转债债券A,ZHONGHAIKEZHUANZHAIZHAIQUANA,债券型
3,ZHKZZZQC,000004,中海可转债债券C,ZHONGHAIKEZHUANZHAIZHAIQUANC,债券型
4,JSZQXYDQZQ,000005,嘉实增强信用定期债券,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN,定开债券
5,XBLDLHCZHH,000006,西部利得量化成长混合,XIBULIDELIANGHUACHENGZHANGHUNHE,混合型
6,JSZZ500ETFLJA,000008,嘉实中证500ETF联接A,JIASHIZHONGZHENG500ETFLIANJIEA,联接基金
7,YFDTTLCHBA,000009,易方达天天理财货币A,YIFANGDATIANTIANLICAIHUOBIA,货币型
8,YFDTTLCHBB,000010,易方达天天理财货币B,YIFANGDATIANTIANLICAIHUOBIB,货币型
9,HXDPJXHH,000011,华夏大盘精选混合,HUAXIADAPANJINGXUANHUNHE,混合型
10,HXDPJXHH,000012,华夏大盘精选混合(后端),HUAXIADAPANJINGXUANHUNHE,混合型
11,YFDTTLCHBR,000013,易方达天天理财货币R,YIFANGDATIANTIANLICAIHUOBIR,货币型
12,HXJLZQ,000014,华夏聚利债券,HUAXIAJULIZHAIQUAN,债券型
13,HXCZZQA,000015,华夏纯债债券A,HUAXIACHUNZHAIZHAIQUANA,债券型
14,HXCZZQC,000016,华夏纯债债券C,HUAXIACHUNZHAIZHAIQUANC,债券型
15,CTKCXHH,000017,财通可持续混合,CAITONGKECHIXUHUNHE,混合型
16,JSCCPZTZHH,000020,景顺长城品质投资混合,JINGSHUNCHANGCHENGPINZHITOUZIHUNHE,混合型
17,HXYSZZHH,000021,华夏优势增长混合,HUAXIAYOUSHIZENGZHANGHUNHE,混合型
18,DMSLZQZQA,000024,大摩双利增强债券A,DAMOSHUANGLIZENGQIANGZHAIQUANA,债券型
19,DMSLZQZQC,000025,大摩双利增强债券C,DAMOSHUANGLIZENGQIANGZHAIQUANC,债券型
20,HFAXZQ,000028,华富安鑫债券,HUAFUANXINZHAIQUAN,债券型
21,FGHGCLLHPZHH,000029,富国宏观策略灵活配置混合,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHE,混合型
22,CCHXYXHH,000030,长城核心优选混合,CHANGCHENGHEXINYOUXUANHUNHE,混合型
23,HXFXHH,000031,华夏复兴混合,HUAXIAFUXINGHUNHE,混合型
24,YFDXYZZQA,000032,易方达信用债债券A,YIFANGDAXINYONGZHAIZHAIQUANA,债券型
25,YFDXYZZQC,000033,易方达信用债债券C,YIFANGDAXINYONGZHAIZHAIQUANC,债券型
26,GFLC7TZQA,000037,广发理财7天债券A,GUANGFALICAI7TIANZHAIQUANA,理财型
27,GFLC7TZQB,000038,广发理财7天债券B,GUANGFALICAI7TIANZHAIQUANB,理财型
28,NYGZZHH,000039,农银高增长混合,NONGYINGAOZENGZHANGHUNHE,混合型
29,HXQQGPQDII,000041,华夏全球股票(QDII),HUAXIAQUANQIUGUPIAOQDII,QDII
30,ZZCTKCXFZ100ZSA,000042,中证财通可持续发展100指数A,ZHONGZHENGCAITONGKECHIXUFAZHAN100ZHISHUA,股票指数
31,JSMGCZGPRMB,000043,嘉实美国成长股票人民币,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI,QDII
32,JSMGCZGPMYXH,000044,嘉实美国成长股票美元现汇,JIASHIMEIGUOCHENGZHANGGUPIAOMEIYUANXIANHUI,QDII
33,GYCYZZQA,000045,工银产业债债券A,GONGYINCHANYEZHAIZHAIQUANA,债券型
34,GYCYZZQB,000046,工银产业债债券B,GONGYINCHANYEZHAIZHAIQUANB,债券型
35,HXSZZQA,000047,华夏双债债券A,HUAXIASHUANGZHAIZHAIQUANA,债券型
36,HXSZZQC,000048,华夏双债债券C,HUAXIASHUANGZHAIZHAIQUANC,债券型
37,ZYBPQQZYDQZZS,000049,中银标普全球资源等权重指数,ZHONGYINBIAOPUQUANQIUZIYUANDENGQUANZHONGZHISHU,QDII-指数
38,HXHS300ETFLJA,000051,华夏沪深300ETF联接A,HUAXIAHUSHEN300ETFLIANJIEA,联接基金
39,PHYCYNDKZQ,000053,鹏华永诚一年定开债券,PENGHUAYONGCHENGYINIANDINGKAIZHAIQUAN,定开债券
40,PHSZZLZQ,000054,鹏华双债增利债券,PENGHUASHUANGZHAIZENGLIZHAIQUAN,债券型
41,GFNSDK100MYXHA,000055,广发纳斯达克100美元现汇A,GUANGFANASIDAKE100MEIYUANXIANHUIA,QDII-指数
42,JXXFSJHH,000056,建信消费升级混合,JIANXINXIAOFEISHENGJIHUNHE,混合型
43,ZYXFZTHH,000057,中银消费主题混合,ZHONGYINXIAOFEIZHUTIHUNHE,混合型
44,GLAATLHPZHH,000058,国联安安泰灵活配置混合,GUOLIANANANTAILINGHUOPEIZHIHUNHE,混合型
45,GLAZZYY100A,000059,国联安中证医药100A,GUOLIANANZHONGZHENGYIYAO100A,股票指数
46,HXSSHH,000061,华夏盛世混合,HUAXIASHENGSHIHUNHE,混合型
47,CSDZXXZTLHPZHH,000063,长盛电子信息主题灵活配置混合,CHANGSHENGDIANZIXINXIZHUTILINGHUOPEIZHIHUNHE,混合型
48,DM18GYDKZ,000064,大摩18个月定开债,DAMO18GEYUEDINGKAIZHAI,定开债券
49,GFJDQDHH,000065,国富焦点驱动混合,GUOFUJIAODIANQUDONGHUNHE,混合型
50,NAHXHH,000066,诺安鸿鑫混合,NUOANHONGXINHUNHE,混合型
51,MSJYZZYXA,000067,民生加银转债优选A,MINSHENGJIAYINZHUANZHAIYOUXUANA,债券型
52,MSJYZZYXC,000068,民生加银转债优选C,MINSHENGJIAYINZHUANZHAIYOUXUANC,债券型
53,GTRYZGDJZQA,000069,国投瑞银中高等级债券A,GUOTOURUIYINZHONGGAODENGJIZHAIQUANA,债券型
54,GTRYZGDJZQC,000070,国投瑞银中高等级债券C,GUOTOURUIYINZHONGGAODENGJIZHAIQUANC,债券型
55,HXHSETFLJA,000071,华夏恒生ETF联接A,HUAXIAHENGSHENGETFLIANJIEA,QDII-指数
56,HAWJHBHH,000072,华安稳健回报混合,HUAANWENJIANHUIBAOHUNHE,混合型
57,STMGCZDLHH,000073,上投摩根成长动力混合,SHANGTOUMOGENCHENGZHANGDONGLIHUNHE,混合型
58,GYXYCZYNDKZA,000074,工银信用纯债一年定开债A,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIA,定开债券
59,HXHSETFLJXH,000075,华夏恒生ETF联接现汇,HUAXIAHENGSHENGETFLIANJIEXIANHUI,QDII-指数
60,HXHSETFLJXC,000076,华夏恒生ETF联接现钞,HUAXIAHENGSHENGETFLIANJIEXIANCHAO,QDII-指数
61,GYXYCZYNDKZC,000077,工银信用纯债一年定开债C,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIC,定开债券
62,GYXYCZLNDKZA,000078,工银信用纯债两年定开债A,GONGYINXINYONGCHUNZHAILIANGNIANDINGKAIZHAIA,定开债券
63,GYXYCZLNDKZC,000079,工银信用纯债两年定开债C,GONGYINXINYONGCHUNZHAILIANGNIANDINGKAIZHAIC,定开债券
64,TZKZZZQZQA,000080,天治可转债增强债券A,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANA,债券型
65,TZKZZZQZQC,000081,天治可转债增强债券C,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANC,债券型
66,JSYJAEFGP,000082,嘉实研究阿尔法股票,JIASHIYANJIUAERFAGUPIAO,股票型
67,HTFXFHYHH,000083,汇添富消费行业混合,HUITIANFUXIAOFEIHANGYEHUNHE,混合型
68,BSAYZQA,000084,博时安盈债券A,BOSHIANYINGZHAIQUANA,债券型
69,BSAYZQC,000085,博时安盈债券C,BOSHIANYINGZHAIQUANC,债券型
70,NFWL1NDKZA,000086,南方稳利1年定开债A,NANFANGWENLI1NIANDINGKAIZHAIA,定开债券
71,JSZZJBGZETFLJA,000087,嘉实中证金边国债ETF联接A,JIASHIZHONGZHENGJINBIANGUOZHAIETFLIANJIEA,联接基金
72,JSZZJBGZETFLJC,000088,嘉实中证金边国债ETF联接C,JIASHIZHONGZHENGJINBIANGUOZHAIETFLIANJIEC,联接基金
73,MSJYJYLCYDA,000089,民生加银家盈理财月度A,MINSHENGJIAYINJIAYINGLICAIYUEDUA,理财型
74,MSJYJYLCYDB,000090,民生加银家盈理财月度B,MINSHENGJIAYINJIAYINGLICAIYUEDUB,理财型
75,XCXSYFJZQ,000091,信诚新双盈分级债券,XINCHENGXINSHUANGYINGFENJIZHAIQUAN,债券型
76,XCXSYFJZQA,000092,信诚新双盈分级债券A,XINCHENGXINSHUANGYINGFENJIZHAIQUANA,固定收益
77,XCXSYFJZQB,000093,信诚新双盈分级债券B,XINCHENGXINSHUANGYINGFENJIZHAIQUANB,分级杠杆
78,GTZGQYJWGSYZ,000103,国泰中国企业境外高收益债,GUOTAIZHONGGUOQIYEJINGWAIGAOSHOUYIZHAI,QDII
79,HCWLWJTLZQA,000104,华宸未来稳健添利债券A,HUACHENWEILAIWENJIANTIANLIZHAIQUANA,债券型
80,JXAXHBZQA,000105,建信安心回报债券A,JIANXINANXINHUIBAOZHAIQUANA,定开债券
81,JXAXHBZQC,000106,建信安心回报债券C,JIANXINANXINHUIBAOZHAIQUANC,定开债券
82,FGWJZQZQAB,000107,富国稳健增强债券A/B,FUGUOWENJIANZENGQIANGZHAIQUANAB,债券型
83,FGWJZQZQAB,000108,富国稳健增强债券A/B(后端),FUGUOWENJIANZENGQIANGZHAIQUANAB,债券型
84,FGWJZQZQC,000109,富国稳健增强债券C,FUGUOWENJIANZENGQIANGZHAIQUANC,债券型
85,JYYAHHA,000110,金鹰元安混合A,JINYINGYUANANHUNHEA,混合型
86,YFDCZ1NDKZA,000111,易方达纯债1年定开债A,YIFANGDACHUNZHAI1NIANDINGKAIZHAIA,定开债券
87,YFDCZ1NDKZC,000112,易方达纯债1年定开债C,YIFANGDACHUNZHAI1NIANDINGKAIZHAIC,定开债券
88,JSRYBDQZQAB,000113,嘉实如意宝定期债券A/B,JIASHIRUYIBAODINGQIZHAIQUANAB,定开债券
89,JSRYBDQZQAB,000114,嘉实如意宝定期债券A/B(后端),JIASHIRUYIBAODINGQIZHAIQUANAB,定开债券
90,JSRYBDQZQC,000115,嘉实如意宝定期债券C,JIASHIRUYIBAODINGQIZHAIQUANC,定开债券
91,JSFYCZDQZQ,000116,嘉实丰益纯债定期债券,JIASHIFENGYICHUNZHAIDINGQIZHAIQUAN,定开债券
92,GFLDPZHH,000117,广发轮动配置混合,GUANGFALUNDONGPEIZHIHUNHE,混合型
93,GFJXZQA,000118,广发聚鑫债券A,GUANGFAJUXINZHAIQUANA,债券型
94,GFJXZQC,000119,广发聚鑫债券C,GUANGFAJUXINZHAIQUANC,债券型
95,ZYMLZGHH,000120,中银美丽中国混合,ZHONGYINMEILIZHONGGUOHUNHE,混合型
96,HXYFHHA,000121,华夏永福混合A,HUAXIAYONGFUHUNHEA,混合型
97,HTFSYZZQA,000122,汇添富实业债债券A,HUITIANFUSHIYEZHAIZHAIQUANA,债券型
98,HTFSYZZQC,000123,汇添富实业债债券C,HUITIANFUSHIYEZHAIZHAIQUANC,债券型
99,HBFWYXHH,000124,华宝服务优选混合,HUABAOFUWUYOUXUANHUNHE,混合型
100,ZSARHH,000126,招商安润混合,ZHAOSHANGANRUNHUNHE,混合型
101,NYHYLXHH,000127,农银行业领先混合,NONGYINHANGYELINGXIANHUNHE,混合型
102,DCJADRZQA,000128,大成景安短融债券A,DACHENGJINGANDUANRONGZHAIQUANA,债券型
103,DCJADRZQB,000129,大成景安短融债券B,DACHENGJINGANDUANRONGZHAIQUANB,债券型
104,DCJXXYZZQA,000130,大成景兴信用债债券A,DACHENGJINGXINGXINYONGZHAIZHAIQUANA,债券型
105,DCJXXYZZQC,000131,大成景兴信用债债券C,DACHENGJINGXINGXINYONGZHAIZHAIQUANC,债券型
106,XCLC28RYA,000134,信诚理财28日盈A,XINCHENGLICAI28RIYINGA,理财型
107,XCLC28RYB,000135,信诚理财28日盈B,XINCHENGLICAI28RIYINGB,理财型
108,MSJYCLJXHH,000136,民生加银策略精选混合,MINSHENGJIAYINCELUEJINGXUANHUNHE,混合型
109,MSJYSSZLZQA,000137,民生加银岁岁增利债券A,MINSHENGJIAYINSUISUIZENGLIZHAIQUANA,定开债券
110,MSJYSSZLZQC,000138,民生加银岁岁增利债券C,MINSHENGJIAYINSUISUIZENGLIZHAIQUANC,定开债券
111,FGGYQYZZQAB,000139,富国国有企业债债券A/B,FUGUOGUOYOUQIYEZHAIZHAIQUANAB,债券型
112,FGGYQYZZQAB,000140,富国国有企业债债券A/B(后端),FUGUOGUOYOUQIYEZHAIZHAIQUANAB,债券型
113,FGGYQYZZQC,000141,富国国有企业债债券C,FUGUOGUOYOUQIYEZHAIZHAIQUANC,债券型
114,RTZQSYZQA,000142,融通增强收益债券A,RONGTONGZENGQIANGSHOUYIZHAIQUANA,债券型
115,PHSZJLZQ,000143,鹏华双债加利债券,PENGHUASHUANGZHAIJIALIZHAIQUAN,债券型
116,YFDGDJXYZZQA,000147,易方达高等级信用债债券A,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANA,债券型
117,YFDGDJXYZZQC,000148,易方达高等级信用债债券C,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANC,债券型
118,HASZTLZQA,000149,华安双债添利债券A,HUAANSHUANGZHAITIANLIZHAIQUANA,债券型
119,HASZTLZQC,000150,华安双债添利债券C,HUAANSHUANGZHAITIANLIZHAIQUANC,债券型
120,DCJXCZZQA,000152,大成景旭纯债债券A,DACHENGJINGXUCHUNZHAIZHAIQUANA,债券型
121,DCJXCZZQC,000153,大成景旭纯债债券C,DACHENGJINGXUCHUNZHAIZHAIQUANC,债券型
122,FGHS300ZSZQ,000154,富国沪深300指数增强(后端),FUGUOHUSHEN300ZHISHUZENGQIANG,股票指数
123,FGTZTSZTLDHH,000155,富国通胀通缩主题轮动混合(后端),FUGUOTONGZHANGTONGSUOZHUTILUNDONGHUNHE,混合型
124,FGQQKJHLWQDII,000157,富国全球科技互联网(QDII)(后端),FUGUOQUANQIUKEJIHULIANWANGQDII,QDII
125,FGDTHBHH,000158,富国低碳环保混合(后端),FUGUODITANHUANBAOHUNHE,混合型
126,FGGXJSCYHH,000159,富国高新技术产业混合(后端),FUGUOGAOXINJISHUCHANYEHUNHE,混合型
127,FGQHBDKZAB,000160,富国强回报定开债A/B(后端),FUGUOQIANGHUIBAODINGKAIZHAIAB,定开债券
128,FGHGCLLHPZHH,000161,富国宏观策略灵活配置混合(后端),FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHE,混合型
129,FGZGZXPHH,000162,富国中国中小盘混合(后端),FUGUOZHONGGUOZHONGXIAOPANHUNHE,QDII
130,FGQQZQRMB,000163,富国全球债券人民币(后端),FUGUOQUANQIUZHAIQUANRENMINBI,QDII
131,FGSZZZETFLJ,000164,富国上证综指ETF联接(后端),FUGUOSHANGZHENGZONGZHIETFLIANJIE,联接基金
132,GTRYCLJXHH,000165,国投瑞银策略精选混合,GUOTOURUIYINCELUEJINGXUANHUNHE,混合型
133,ZHXXCYJXHH,000166,中海信息产业精选混合,ZHONGHAIXINXICHANYEJINGXUANHUNHE,混合型
134,GFJYLHPZHHA,000167,广发聚优灵活配置混合A,GUANGFAJUYOULINGHUOPEIZHIHUNHEA,混合型
135,YFDYFHBZQ,000171,易方达裕丰回报债券,YIFANGDAYUFENGHUIBAOZHAIQUAN,债券型
136,HTBRLHZQHHA,000172,华泰柏瑞量化增强混合A,HUATAIBAIRUILIANGHUAZENGQIANGHUNHEA,混合型
137,HTFML30HH,000173,汇添富美丽30混合,HUITIANFUMEILI30HUNHE,混合型
138,HTFGXZZQA,000174,汇添富高息债债券A,HUITIANFUGAOXIZHAIZHAIQUANA,债券型
139,HTFGXZZQC,000175,汇添富高息债债券C,HUITIANFUGAOXIZHAIZHAIQUANC,债券型
140,JSHS300ZSYJZQ,000176,嘉实沪深300指数研究增强,JIASHIHUSHEN300ZHISHUYANJIUZENGQIANG,股票指数
141,GFMGFDCZS,000179,广发美国房地产指数,GUANGFAMEIGUOFANGDICHANZHISHU,QDII-指数
142,GFMGFDCZSXH,000180,广发美国房地产指数现汇,GUANGFAMEIGUOFANGDICHANZHISHUXIANHUI,QDII-指数
143,JSCCSJJLZQA,000181,景顺长城四季金利债券A,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANA,债券型
144,JSCCSJJLZQC,000182,景顺长城四季金利债券C,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANC,债券型
145,JSFYCLDQZQ,000183,嘉实丰益策略定期债券,JIASHIFENGYICELUEDINGQIZHAIQUAN,定开债券
146,GYTFZQA,000184,工银添福债券A,GONGYINTIANFUZHAIQUANA,债券型
147,GYTFZQB,000185,工银添福债券B,GONGYINTIANFUZHAIQUANB,债券型
148,HTBRJJHZQ,000186,华泰柏瑞季季红债券,HUATAIBAIRUIJIJIHONGZHAIQUAN,债券型
149,HTBRFSCZZQA,000187,华泰柏瑞丰盛纯债债券A,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANA,债券型
150,HTBRFSCZZQC,000188,华泰柏瑞丰盛纯债债券C,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANC,债券型
151,YFDFHZQA,000189,易方达丰华债券A,YIFANGDAFENGHUAZHAIQUANA,债券型
152,ZYXHBLHPZHH,000190,中银新回报灵活配置混合,ZHONGYINXINHUIBAOLINGHUOPEIZHIHUNHE,混合型
153,FGXYZZQAB,000191,富国信用债债券A/B,FUGUOXINYONGZHAIZHAIQUANAB,债券型
154,FGXYZZQC,000192,富国信用债债券C,FUGUOXINYONGZHAIZHAIQUANC,债券型
155,YHXYSJHZQA,000194,银华信用四季红债券A,YINHUAXINYONGSIJIHONGZHAIQUANA,债券型
156,GYCZSYHHA,000195,工银成长收益混合A,GONGYINCHENGZHANGSHOUYIHUNHEA,混合型
157,GYCZSYHHB,000196,工银成长收益混合B,GONGYINCHENGZHANGSHOUYIHUNHEB,混合型
158,FGMBSYYNQCZZQ,000197,富国目标收益一年期纯债债券,FUGUOMUBIAOSHOUYIYINIANQICHUNZHAIZHAIQUAN,定开债券
159,THYEBHB,000198,天弘余额宝货币,TIANHONGYUEBAOHUOBI,货币型
160,GTLHCLSYHH,000199,国泰量化策略收益混合,GUOTAILIANGHUACELUESHOUYIHUNHE,混合型
161,BSSSZLYNDKZ,000200,博时岁岁增利一年定开债,BOSHISUISUIZENGLIYINIANDINGKAIZHAI,定开债券
162,NATXYNDKZA,000201,诺安泰鑫一年定开债A,NUOANTAIXINYINIANDINGKAIZHAIA,定开债券
163,FGMBSYLNQCZZQ,000202,富国目标收益两年期纯债债券,FUGUOMUBIAOSHOUYILIANGNIANQICHUNZHAIZHAIQUAN,定开债券
164,GFRRSYHBA,000203,国富日日收益货币A,GUOFURIRISHOUYIHUOBIA,货币型
165,GFRRSYHBB,000204,国富日日收益货币B,GUOFURIRISHOUYIHUOBIB,货币型
166,YFDTZJXYZZQA,000205,易方达投资级信用债债券A,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANA,债券型
167,YFDTZJXYZZQC,000206,易方达投资级信用债债券C,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANC,债券型
168,JXSZZQZQA,000207,建信双债增强债券A,JIANXINSHUANGZHAIZENGQIANGZHAIQUANA,债券型
169,JXSZZQZQC,000208,建信双债增强债券C,JIANXINSHUANGZHAIZENGQIANGZHAIQUANC,债券型
170,XCXXCYHH,000209,信诚新兴产业混合,XINCHENGXINXINGCHANYEHUNHE,混合型
171,GDXJBHBA,000210,光大现金宝货币A,GUANGDAXIANJINBAOHUOBIA,货币型
172,GDXJBHBB,000211,光大现金宝货币B,GUANGDAXIANJINBAOHUOBIB,货币型
173,TXXYDQKFA,000212,泰信鑫益定期开放A,TAIXINXINYIDINGQIKAIFANGA,定开债券
174,TXXYDQKFC,000213,泰信鑫益定期开放C,TAIXINXINYIDINGQIKAIFANGC,定开债券
175,GFCZYXHH,000214,广发成长优选混合,GUANGFACHENGZHANGYOUXUANHUNHE,混合型
176,GFQSYXLHPZHH,000215,广发趋势优选灵活配置混合,GUANGFAQUSHIYOUXUANLINGHUOPEIZHIHUNHE,混合型
177,HAHJYETFLJA,000216,华安黄金易ETF联接A,HUAANHUANGJINYIETFLIANJIEA,联接基金
178,HAHJYETFLJC,000217,华安黄金易ETF联接C,HUAANHUANGJINYIETFLIANJIEC,联接基金
179,GTHJETFLJA,000218,国泰黄金ETF联接A,GUOTAIHUANGJINETFLIANJIEA,联接基金
180,BSYYHH,000219,博时裕益混合,BOSHIYUYIHUNHE,混合型
181,FGYLBJHYHH,000220,富国医疗保健行业混合,FUGUOYILIAOBAOJIANHANGYEHUNHE,混合型
182,HTFNNLDKZA,000221,汇添富年年利定开债A,HUITIANFUNIANNIANLIDINGKAIZHAIA,定开债券
183,HTFNNLDKZC,000222,汇添富年年利定开债C,HUITIANFUNIANNIANLIDINGKAIZHAIC,定开债券
184,CSNNSYDQZQA,000225,长盛年年收益定期债券A,CHANGSHENGNIANNIANSHOUYIDINGQIZHAIQUANA,定开债券
185,CSNNSYDQZQC,000226,长盛年年收益定期债券C,CHANGSHENGNIANNIANSHOUYIDINGQIZHAIQUANC,定开债券
186,HANNHZQA,000227,华安年年红债券A,HUAANNIANNIANHONGZHAIQUANA,定开债券
187,NAWGSYYNDKZ,000235,诺安稳固收益一年定开债,NUOANWENGUSHOUYIYINIANDINGKAIZHAI,定开债券
188,GYYYXDQZFZQA,000236,工银月月薪定期支付债券A,GONGYINYUEYUEXINDINGQIZHIFUZHAIQUANA,债券型
189,GTRYYNDKZA,000237,国投瑞银一年定开债A,GUOTOURUIYINYINIANDINGKAIZHAIA,定开债券
190,GTRYYNDKZC,000238,国投瑞银一年定开债C,GUOTOURUIYINYINIANDINGKAIZHAIC,定开债券
191,HANNYDKZA,000239,华安年年盈定开债A,HUAANNIANNIANYINGDINGKAIZHAIA,定开债券
192,HANNYDKZC,000240,华安年年盈定开债C,HUAANNIANNIANYINGDINGKAIZHAIC,定开债券
193,BYHXYSHHC,000241,宝盈核心优势混合C,BAOYINGHEXINYOUSHIHUNHEC,混合型
194,JSCCCLJXLHPZHH,000242,景顺长城策略精选灵活配置混合,JINGSHUNCHANGCHENGCELUEJINGXUANLINGHUOPEIZHIHUNHE,混合型
195,THWLDQKFA,000244,天弘稳利定期开放A,TIANHONGWENLIDINGQIKAIFANGA,定开债券
196,THWLDQKFB,000245,天弘稳利定期开放B,TIANHONGWENLIDINGQIKAIFANGB,定开债券
197,BSYYXDQZFZQ,000246,博时月月薪定期支付债券,BOSHIYUEYUEXINDINGQIZHIFUZHAIQUAN,定开债券
198,HTFZZZYXFETFLJ,000248,汇添富中证主要消费ETF联接,HUITIANFUZHONGZHENGZHUYAOXIAOFEIETFLIANJIE,联接基金
199,GYJRDCHH,000251,工银金融地产混合,GONGYINJINRONGDICHANHUNHE,混合型
200,JSCCJXXYCZZQA,000252,景顺长城景兴信用纯债债券A,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANA,债券型
201,JSCCJXXYCZZQC,000253,景顺长城景兴信用纯债债券C,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANC,债券型
202,CCDKZA,000254,长城定开债A,CHANGCHENGDINGKAIZHAIA,定开债券
203,CCDKZC,000255,长城定开债C,CHANGCHENGDINGKAIZHAIC,定开债券
204,STMGHLHBHHA,000256,上投摩根红利回报混合A,SHANGTOUMOGENHONGLIHUIBAOHUNHEA,混合型
205,NYQJSYHH,000259,农银区间收益混合,NONGYINQUJIANSHOUYIHUNHE,混合型
206,GYXXCYHH,000263,工银信息产业混合,GONGYINXINXICHANYEHUNHE,混合型
207,BSNXZZHH,000264,博时内需增长混合,BOSHINEIXUZENGZHANGHUNHE,混合型
208,YFDHJTL1NDKZA,000265,易方达恒久添利1年定开债A,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIA,定开债券
209,YFDHJTL1NDKZC,000266,易方达恒久添利1年定开债C,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIC,定开债券
210,GFJLYNDKZA,000267,广发集利一年定开债A,GUANGFAJILIYINIANDINGKAIZHAIA,定开债券
211,GFJLYNDKZC,000268,广发集利一年定开债C,GUANGFAJILIYINIANDINGKAIZHAIC,定开债券
212,JSHRSZLNQDQZQ,000269,嘉实合润双债两年期定期债券,JIASHIHERUNSHUANGZHAILIANGNIANQIDINGQIZHAIQUAN,定开债券
213,JXAXBBHH,000270,建信安心保本混合,JIANXINANXINBAOBENHUNHE,保本型
214,ZYDKZA,000271,中邮定开债A,ZHONGYOUDINGKAIZHAIA,定开债券
215,ZYDKZC,000272,中邮定开债C,ZHONGYOUDINGKAIZHAIC,定开债券
216,HRYDAXLHPZHHA,000273,华润元大安鑫灵活配置混合A,HUARUNYUANDAANXINLINGHUOPEIZHIHUNHEA,混合型
217,GFYTZGSYZQ,000274,广发亚太中高收益债券,GUANGFAYATAIZHONGGAOSHOUYIZHAIQUAN,QDII
218,GFYTZGSYZQXH,000275,广发亚太中高收益债券现汇,GUANGFAYATAIZHONGGAOSHOUYIZHAIQUANXIANHUI,QDII
219,BSSYXDQZFZQ,000277,博时双月薪定期支付债券,BOSHISHUANGYUEXINDINGQIZHIFUZHAIQUAN,定开债券
220,HSHLYXHH,000279,华商红利优选混合,HUASHANGHONGLIYOUXUANHUNHE,混合型
221,YHXYJJHZQA,000286,银华信用季季红债券A,YINHUAXINYONGJIJIHONGZHAIQUANA,债券型
222,PHFTDKZA,000289,鹏华丰泰定开债A,PENGHUAFENGTAIDINGKAIZHAIA,定开债券
223,PHQQGSYZQDII,000290,鹏华全球高收益债(QDII),PENGHUAQUANQIUGAOSHOUYIZHAIQDII,QDII
224,HASTYXHH,000294,华安生态优先混合,HUAANSHENGTAIYOUXIANHUNHE,混合型
225,PHFSDKZA,000295,鹏华丰实定开债A,PENGHUAFENGSHIDINGKAIZHAIA,定开债券
226,PHFSDKZB,000296,鹏华丰实定开债B,PENGHUAFENGSHIDINGKAIZHAIB,定开债券
227,PHKZZZQ,000297,鹏华可转债债券,PENGHUAKEZHUANZHAIZHAIQUAN,债券型
228,ZHCZZQA,000298,中海纯债债券A,ZHONGHAICHUNZHAIZHAIQUANA,债券型
229,ZHCZZQC,000299,中海纯债债券C,ZHONGHAICHUNZHAIZHAIQUANC,债券型
230,DBDLHBA,000300,德邦德利货币A,DEBANGDELIHUOBIA,货币型
231,DBDLHBB,000301,德邦德利货币B,DEBANGDELIHUOBIB,货币型
232,ZYZGDJA,000305,中银中高等级A,ZHONGYINZHONGGAODENGJIA,债券型
233,THHLZQ,000306,天弘弘利债券,TIANHONGHONGLIZHAIQUAN,债券型
234,YFDHJETFLJA,000307,易方达黄金ETF联接A,YIFANGDAHUANGJINETFLIANJIEA,联接基金
235,JXCXZGHH,000308,建信创新中国混合,JIANXINCHUANGXINZHONGGUOHUNHE,混合型
236,DMPZSHJXGP,000309,大摩品质生活精选股票,DAMOPINZHISHENGHUOJINGXUANGUPIAO,股票型
237,AXYLXYA,000310,安信永利信用A,ANXINYONGLIXINYONGA,定开债券
238,JSCCHS300ZSZQ,000311,景顺长城沪深300指数增强,JINGSHUNCHANGCHENGHUSHEN300ZHISHUZENGQIANG,股票指数
239,HAHS300ZQA,000312,华安沪深300增强A,HUAANHUSHEN300ZENGQIANGA,股票指数
